G,L2,R2,W3,cg_R1,cg_R2,S11_Linear,S11_Real,S11_Img
145,34,18,19,30,55,0.43391907,0.15999939787283,-0.40333006366638
145,34,18,14,30,20,0.38311153,0.18556206593435,-0.3349583116905
145,34,18,14,30,27,0.38896308,0.18342749317247,-0.34280300577586
145,34,18,14,30,34,0.39636085,0.18317518910286,-0.35132791913654
145,34,18,14,30,41,0.40451652,0.1846463132357,-0.35977300355782
145,34,18,14,30,48,0.41293981,0.18732732999229,-0.36788504996248
145,34,18,14,30,55,0.41940714,0.19079939997715,-0.37338855832688
145,34,18,9,30,20,0.37538248,0.1965693518877,-0.31947842810851
145,34,18,9,30,27,0.38078613,0.19665902482308,-0.32577827616838
145,34,18,9,30,34,0.38668625,0.19803022899301,-0.33186071305866
145,34,18,9,30,41,0.39244347,0.20048328270605,-0.33711938066074
145,34,18,9,30,48,0.39787989,0.20337741240466,-0.34174318103772
145,34,18,9,30,55,0.40156273,0.20629971320491,-0.34431862814081
145,34,20,19,30,20,0.37808822,0.16311396908053,-0.34101209071906
145,34,20,19,30,27,0.3823809,0.15587157273079,-0.34910346437502
145,34,20,19,30,34,0.38926267,0.14928734472005,-0.35944986665328
145,34,20,19,30,41,0.39906891,0.14415553357243,-0.37209397125402
145,34,20,19,30,48,0.41180837,0.14105675432812,-0.38688638460657
145,34,20,19,30,55,0.42470899,0.14084684516249,-0.4006721492781
145,34,20,14,30,20,0.37469136,0.17841650723243,-0.32927970202176
145,34,20,14,30,27,0.3802659,0.175067055962,-0.33738908797486
145,34,20,14,30,34,0.38753709,0.17311225239763,-0.34656990008705
145,34,20,14,30,41,0.39602,0.17272874696348,-0.35623914268117
145,34,20,14,30,48,0.40554635,0.17411300988295,-0.3661708803822
145,34,20,14,30,55,0.41359753,0.17726131630353,-0.37360461337019
145,34,20,9,30,20,0.36851451,0.1902051630137,-0.31530241295
145,34,20,9,30,27,0.3738726,0.18901553453411,-0.32228491041445
145,34,20,9,30,34,0.37996619,0.18934997999921,-0.32916472660541
145,34,20,9,30,41,0.38651446,0.19091834212149,-0.33584893778801
145,34,20,9,30,48,0.39301255,0.19338262604926,-0.34195615750655
145,34,20,9,30,55,0.39747901,0.1963123367935,-0.34545142060611
150,34,16,19,30,20,0.46763674,0.19694538889821,-0.42413956958547
150,34,16,19,30,27,0.47527256,0.1934695034975,-0.4341062632936
150,34,16,19,30,34,0.48535624,0.19181283591782,-0.44583283469033
150,34,16,19,30,41,0.49641607,0.19244453114589,-0.45757169607296
150,34,16,19,30,48,0.50782588,0.19533061111111,-0.46871788069455
150,34,16,19,30,55,0.51810949,0.19951763789102,-0.47809981482992
150,34,16,14,30,20,0.47081402,0.2171162400192,-0.41776349619027
150,34,16,14,30,27,0.47812195,0.21719176930155,-0.42594305134706
150,34,16,14,30,34,0.48653329,0.21902608158483,-0.43444079958973
150,34,16,14,30,41,0.49437036,0.22236619896801,-0.4415303131139
150,34,16,14,30,48,0.50134217,0.22644354844821,-0.44727700214351
150,34,16,14,30,55,0.50675043,0.23031880959184,-0.45136895258411
150,34,16,9,30,20,0.46774741,0.23242419872627,-0.40591431624986
150,34,16,9,30,27,0.47369351,0.2340736108162,-0.41181921762887
150,34,16,9,30,34,0.47987184,0.23697369837724,-0.41727670822098
150,34,16,9,30,41,0.48490389,0.24036888861026,-0.42113305686727
150,34,18,9,30,48,0.48869946,0.24370548126134,-0.42359437636979
150,34,18,9,30,55,0.49108316,0.24631344229174,-0.42483993644699
150,34,18,19,30,20,0.45744748,0.18964158112792,-0.41628247182732
150,34,18,19,30,27,0.46407548,0.18403558634041,-0.42601777788612
150,34,18,19,30,34,0.47374723,0.17989285807911,-0.43824970786793
150,34,18,19,30,41,0.48545518,0.17810791441473,-0.4515744257516
150,34,18,19,30,48,0.4982623,0.17892840337022,-0.46497874474683
150,34,18,19,30,55,0.51082038,0.18197479473496,-0.47723584317448
150,34,18,14,30,20,0.46240446,0.2091497967982,-0.41240050523932
150,34,18,14,30,27,0.46963789,0.20782695486711,-0.42114932682389
150,34,18,14,30,34,0.47840795,0.20839141836609,-0.43063176798676
150,34,18,14,30,41,0.48734727,0.21065105314421,-0.43945999992944
150,34,18,14,30,48,0.49560425,0.21419654924619,-0.44690976364492
150,34,18,14,30,55,0.5024648,0.21818584016407,-0.45259738412481
150,34,18,9,30,20,0.46148366,0.22514030952049,-0.4028386358649
