G,L2,R2,W3,cg_R1,cg_R2,S11_Linear
150,34,20,19,40,48,0.48044959
150,34,20,19,40,55,0.49980352
150,34,20,14,40,20,0.44036149
150,34,20,14,40,27,0.44930354
150,34,20,14,40,34,0.46079686
150,34,20,14,40,41,0.47399612
150,34,20,14,40,48,0.48712986
150,34,20,14,40,55,0.49814405
150,34,20,9,40,20,0.44380287
150,34,20,9,40,27,0.45234997
150,34,20,9,40,34,0.46174662
150,34,20,9,40,41,0.47072181
150,34,20,9,40,48,0.47796838
150,34,20,9,40,55,0.48261269
155,34,16,19,40,20,0.50372273
155,34,16,19,40,27,0.514617
155,34,16,19,40,34,0.52862206
155,34,16,19,40,41,0.54407067
155,34,16,19,40,48,0.55900882
155,34,16,19,40,55,0.57112074
155,34,16,14,40,20,0.51692673
155,34,16,14,40,27,0.52735134
155,34,16,14,40,34,0.53831287
155,34,16,14,40,41,0.54827894
155,34,16,14,40,48,0.55610845
155,34,16,14,40,55,0.56067613
155,34,16,9,40,20,0.51959033
155,34,16,9,40,27,0.52731025
155,34,16,9,40,34,0.5344511
155,34,16,9,40,41,0.53982231
155,34,18,9,40,48,0.54282926
155,34,18,9,40,55,0.54363686
155,34,18,19,40,20,0.49029955
155,34,18,19,40,27,0.49959584
155,34,18,19,40,34,0.51296374
155,34,18,19,40,41,0.5283188
155,34,18,19,40,48,0.54689162
155,34,18,19,40,55,0.56245805
155,34,18,14,40,20,0.50597964
155,34,18,14,40,27,0.5163908
155,34,18,14,40,34,0.52835613
155,34,18,14,40,41,0.53929071
155,34,18,14,40,48,0.55024914
155,34,18,14,40,55,0.55705617
155,34,18,9,40,20,0.51176877
155,34,18,9,40,27,0.52025333
155,34,18,9,40,34,0.52850505
155,34,18,9,40,41,0.53449254
155,34,18,9,40,48,0.53973127
155,34,18,9,40,55,0.54170588
155,34,20,19,40,20,0.47361971
155,34,20,19,40,27,0.47988599
155,34,20,19,40,34,0.49078787
155,34,20,19,40,41,0.50672871
155,34,20,19,40,48,0.52636782
155,34,20,19,40,55,0.54596527
155,34,20,14,40,20,0.49089038
155,34,20,14,40,27,0.50053924
155,34,20,14,40,34,0.5128722
155,34,20,14,40,41,0.52651005
155,34,20,14,40,48,0.53953488
155,34,20,14,40,55,0.54949615
155,34,20,9,40,20,0.50041777
155,34,20,9,40,27,0.50923729
155,34,20,9,40,34,0.51870339
155,34,20,9,40,41,0.52727909
155,34,20,9,40,48,0.53393145
155,34,20,9,40,55,0.5373497
140,34,16,19,50,20,0.25591476
140,34,16,19,50,27,0.26447198
140,34,16,19,50,34,0.27984109
140,34,16,19,50,41,0.30084249
140,34,16,19,50,48,0.32562815
140,34,16,19,50,55,0.35222552
140,34,16,14,50,20,0.25600855
140,34,16,14,50,27,0.26763491
140,34,16,14,50,34,0.28396491
140,34,16,14,50,41,0.3036531
140,34,16,14,50,48,0.32427677
140,34,16,14,50,55,0.3436861
140,34,16,9,50,20,0.25405367
140,34,16,9,50,27,0.26571421
140,34,16,9,50,34,0.28073413
140,34,16,9,50,41,0.29728358
140,34,18,9,50,48,0.31305536
